SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
ALPHACYN	28615	30607	29779	27386	30628	28972	29871	28816	29654	28992	28672	30288	29962	31931	32417	30532	34227	32948	32933	31400	33536	33611	31514	33516
ALPHACYN, DELTACYN	0	0	0	0	2	50	50	19	0	0	1	0	0	288	161	16	0	0	0	0	0	0	0	0
ALPHACYN, GAMMACYN	11886	12455	12672	11678	12893	12579	13025	12824	13102	12770	12465	12780	12000	13201	13094	13113	15060	14379	14934	14370	14682	14827	15079	15379
ALPHACYN, KAPPACYN	0	0	10	222	497	606	683	737	956	1047	1144	1323	1224	1334	1378	1574	2049	2112	2182	2408	2687	2734	2855	3003
ALPHACYN, GAMMACYN, KAPPACYN	0	0	26	72	91	132	182	163	108	95	90	123	160	166	156	107	232	187	178	174	150	110	90	137
ALPHACYN, OMEGACYN	549	622	615	589	567	617	588	542	477	450	502	543	529	649	601	528	669	663	613	566	550	604	521	486
ALPHACYN, GAMMACYN, OMEGACYN	1303	1538	1374	1404	1670	1609	1670	1442	1391	1458	1322	1405	1422	1549	1366	1214	1424	1546	1666	1555	1424	1342	1197	1231
ALPHACYN, KAPPACYN, OMEGACYN	0	31	31	28	41	64	93	90	129	200	201	144	196	228	236	171	187	186	265	257	235	220	270	256
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	13	67	22	18	0	0	11	19	71	59	35	31	49	46	65	105	61	52	21	56	56	31	10	73
ALPHACYN, DELTACYN, GAMMACYN	7	31	2	0	5	0	0	28	0	6	22	0	27	287	273	78	52	5	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	0	0	14	0	0	23	7
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3
ALPHACYN, BETACYN	0	11	44	42	49	23	4	0	2	0	1	14	57	42	21	53	11	0	0	0	18	20	6	26
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	9	1	7	0	19	31	19	0	0	0	0	23	14
ALPHACYN, GAMMACYN, ZETACYN	30	31	31	28	13	0	18	1	31	31	30	31	30	46	40	28	31	30	58	61	94	64	60	62
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	48	21	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	16	8	0	0	0	5	0	0	0	0	0	0	0	0	0
ALPHACYN, ZETACYN	0	0	0	18	0	0	18	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	31	30	31	31	30	31
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	18	28	0	0	0	0	0	0	6	6	0	23	0	0	0	8	0	0
