SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
BETACYN	2893	3078	2801	2761	3196	3161	3528	3431	3691	3883	3711	4042	3948	5020	6428	5883	6645	6530	6353	6220	6299	6365	6390	6553
BETACYN, GAMMACYN	1882	2038	2199	2040	2426	2152	2480	2517	2580	2871	2973	3200	3228	3519	4584	5157	5935	5827	5914	5972	6067	6455	6244	6006
BETACYN, KAPPACYN	0	0	0	0	25	81	181	278	198	221	337	380	411	756	996	1095	1338	1247	1181	1206	1260	1286	1440	1522
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	15	24	14	0	0	41	45	0	39	59	3	0	34	50	29	39	55	43	44	31
BETACYN, GAMMACYN, OMEGACYN	271	326	279	268	255	241	289	278	296	290	254	234	243	415	622	596	693	476	542	570	688	530	617	654
BETACYN, DELTACYN, GAMMACYN	6	25	0	0	0	19	31	56	39	6	2	0	0	382	376	81	31	18	0	0	0	0	0	0
BETACYN, DELTACYN	0	21	19	5	0	0	0	17	2	19	0	0	35	325	368	33	10	0	0	0	0	0	0	0
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	28	24	3	0	11	31	30	21	0	6	31	49	62	71	80	79	90	123
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	31	31	19	0	0	10	6	19	0	0	29	30	31	30	3	31
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	13	67	22	18	0	0	11	19	71	59	35	31	49	46	65	105	61	52	21	56	56	31	10	73
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	36	28	13	31	30	18	0	0	0	0	0
BETACYN, OMEGACYN	193	170	180	135	140	171	127	120	179	197	182	208	176	162	160	139	159	157	145	79	90	116	93	98
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	16	31	31	30	42	60	61	82	88	121	90	118	63	49	68	82	71
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	0	0	14	0	0	23	7
ALPHACYN, BETACYN	0	11	44	42	49	23	4	0	2	0	1	14	57	42	21	53	11	0	0	0	18	20	6	26
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	46	13	16	0	0	0	0	0	0	0	0
BETACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	30	31	8	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	46	3	0	0	15	31
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	18	28	0	0	0	0	0	0	6	6	0	23	0	0	0	8	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	31	31	15	0
