SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
DELTACYN, GAMMACYN	4105	4519	3798	3487	4729	4638	4836	4739	4745	4774	4781	5012	4919	3952	1115	151	41	0	0	0	0	0	0	0
DELTACYN	5226	5476	4774	4450	5571	5503	5821	5685	5859	5867	5680	5994	5792	4430	1273	298	9	16	0	0	0	0	0	0
ALPHACYN, DELTACYN	0	0	0	0	2	50	50	19	0	0	1	0	0	288	161	16	0	0	0	0	0	0	0	0
DELTACYN, OMEGACYN	285	325	191	226	242	233	216	183	160	199	324	255	273	195	135	72	34	1	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN	400	390	318	396	514	437	438	439	493	539	466	619	563	439	176	31	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN	6	25	0	0	0	19	31	56	39	6	2	0	0	382	376	81	31	18	0	0	0	0	0	0
BETACYN, DELTACYN	0	21	19	5	0	0	0	17	2	19	0	0	35	325	368	33	10	0	0	0	0	0	0	0
DELTACYN, KAPPACYN	0	0	18	60	89	104	184	166	337	393	458	406	405	306	70	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	8	3	46	36	46	19	4	4	11	14	39	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	29	0	0	12	23	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN	7	31	2	0	5	0	0	28	0	6	22	0	27	287	273	78	52	5	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	36	28	13	31	30	18	0	0	0	0	0
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	10	30	31	15	35	35	30	31	74	63	7	16	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	48	21	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	46	13	16	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	7	35	62	52	31	33	30	31	30	22	0	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	16	8	0	0	0	5	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	22	14	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0	0	0	0
DELTACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	28	9	22	4	0	0	0	0	0	0	0	0	0
