SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
GAMMACYN	60778	64419	64552	59760	66152	63453	66593	63774	66296	67261	64320	66839	66257	70438	69457	63508	70537	69401	71960	69676	72798	71577	69087	71141
DELTACYN, GAMMACYN	4105	4519	3798	3487	4729	4638	4836	4739	4745	4774	4781	5012	4919	3952	1115	151	41	0	0	0	0	0	0	0
BETACYN, GAMMACYN	1882	2038	2199	2040	2426	2152	2480	2517	2580	2871	2973	3200	3228	3519	4584	5157	5935	5827	5914	5972	6067	6455	6244	6006
ALPHACYN, GAMMACYN	11886	12455	12672	11678	12893	12579	13025	12824	13102	12770	12465	12780	12000	13201	13094	13113	15060	14379	14934	14370	14682	14827	15079	15379
GAMMACYN, KAPPACYN	41	50	18	62	143	99	109	150	238	239	132	109	143	186	254	347	428	355	316	424	341	298	198	130
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	15	24	14	0	0	41	45	0	39	59	3	0	34	50	29	39	55	43	44	31
ALPHACYN, GAMMACYN, KAPPACYN	0	0	26	72	91	132	182	163	108	95	90	123	160	166	156	107	232	187	178	174	150	110	90	137
DELTACYN, GAMMACYN, OMEGACYN	400	390	318	396	514	437	438	439	493	539	466	619	563	439	176	31	0	0	0	0	0	0	0	0
GAMMACYN, OMEGACYN	1679	1694	1805	1510	1533	1579	1593	1526	1677	1523	1509	1478	1412	1542	1494	1374	1387	1346	1269	1227	1458	1529	1501	1487
BETACYN, GAMMACYN, OMEGACYN	271	326	279	268	255	241	289	278	296	290	254	234	243	415	622	596	693	476	542	570	688	530	617	654
BETACYN, DELTACYN, GAMMACYN	6	25	0	0	0	19	31	56	39	6	2	0	0	382	376	81	31	18	0	0	0	0	0	0
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	39	45	24	0	8	0	0	0	26	31
ALPHACYN, GAMMACYN, OMEGACYN	1303	1538	1374	1404	1670	1609	1670	1442	1391	1458	1322	1405	1422	1549	1366	1214	1424	1546	1666	1555	1424	1342	1197	1231
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	8	3	46	36	46	19	4	4	11	14	39	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	29	0	0	12	23	0	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	31	31	19	0	0	10	6	19	0	0	29	30	31	30	3	31
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	13	67	22	18	0	0	11	19	71	59	35	31	49	46	65	105	61	52	21	56	56	31	10	73
ALPHACYN, DELTACYN, GAMMACYN	7	31	2	0	5	0	0	28	0	6	22	0	27	287	273	78	52	5	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	36	28	13	31	30	18	0	0	0	0	0
GAMMACYN, ZETACYN	30	31	31	28	46	17	31	45	62	62	60	51	7	42	84	28	16	30	31	45	45	48	38	53
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	10	30	31	15	35	35	30	31	74	63	7	16	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	16	31	31	30	42	60	61	82	88	121	90	118	63	49	68	82	71
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	0	0	14	0	0	23	7
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	9	1	7	0	19	31	19	0	0	0	0	23	14
ALPHACYN, GAMMACYN, ZETACYN	30	31	31	28	13	0	18	1	31	31	30	31	30	46	40	28	31	30	58	61	94	64	60	62
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	17	13	0	0	0	0	0	0	0	24	4	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	48	21	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	22	14	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	31	31	15	0
