SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
KAPPACYN	1879	1774	1828	1941	2783	3230	4027	4322	5439	6201	6409	7359	7502	8617	8542	8154	9291	9125	9882	9638	10326	10643	10678	11611
GAMMACYN, KAPPACYN	41	50	18	62	143	99	109	150	238	239	132	109	143	186	254	347	428	355	316	424	341	298	198	130
BETACYN, KAPPACYN	0	0	0	0	25	81	181	278	198	221	337	380	411	756	996	1095	1338	1247	1181	1206	1260	1286	1440	1522
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	15	24	14	0	0	41	45	0	39	59	3	0	34	50	29	39	55	43	44	31
ALPHACYN, KAPPACYN	0	0	10	222	497	606	683	737	956	1047	1144	1323	1224	1334	1378	1574	2049	2112	2182	2408	2687	2734	2855	3003
ALPHACYN, GAMMACYN, KAPPACYN	0	0	26	72	91	132	182	163	108	95	90	123	160	166	156	107	232	187	178	174	150	110	90	137
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	39	45	24	0	8	0	0	0	26	31
KAPPACYN, OMEGACYN	30	0	0	0	32	59	53	64	62	62	60	62	98	122	147	118	93	83	62	97	138	139	131	161
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	28	24	3	0	11	31	30	21	0	6	31	49	62	71	80	79	90	123
DELTACYN, KAPPACYN	0	0	18	60	89	104	184	166	337	393	458	406	405	306	70	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, OMEGACYN	0	31	31	28	41	64	93	90	129	200	201	144	196	228	236	171	187	186	265	257	235	220	270	256
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	8	3	46	36	46	19	4	4	11	14	39	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	29	0	0	12	23	0	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	31	31	19	0	0	10	6	19	0	0	29	30	31	30	3	31
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	46	13	16	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	7	35	62	52	31	33	30	31	30	22	0	0	0	0	0	0	0	0	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	46	3	0	0	15	31
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	31	30	31	31	30	31
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	18	28	0	0	0	0	0	0	6	6	0	23	0	0	0	8	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	31	31	15	0
