SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
OMEGACYN	3843	4179	3826	3683	4358	3942	3979	3685	3804	3749	3723	3866	4000	4476	4249	4144	4806	4504	4367	4414	4559	4624	4712	4948
DELTACYN, OMEGACYN	285	325	191	226	242	233	216	183	160	199	324	255	273	195	135	72	34	1	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN	400	390	318	396	514	437	438	439	493	539	466	619	563	439	176	31	0	0	0	0	0	0	0	0
GAMMACYN, OMEGACYN	1679	1694	1805	1510	1533	1579	1593	1526	1677	1523	1509	1478	1412	1542	1494	1374	1387	1346	1269	1227	1458	1529	1501	1487
BETACYN, GAMMACYN, OMEGACYN	271	326	279	268	255	241	289	278	296	290	254	234	243	415	622	596	693	476	542	570	688	530	617	654
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	19	39	45	24	0	8	0	0	0	26	31
KAPPACYN, OMEGACYN	30	0	0	0	32	59	53	64	62	62	60	62	98	122	147	118	93	83	62	97	138	139	131	161
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	28	24	3	0	11	31	30	21	0	6	31	49	62	71	80	79	90	123
ALPHACYN, OMEGACYN	549	622	615	589	567	617	588	542	477	450	502	543	529	649	601	528	669	663	613	566	550	604	521	486
ALPHACYN, GAMMACYN, OMEGACYN	1303	1538	1374	1404	1670	1609	1670	1442	1391	1458	1322	1405	1422	1549	1366	1214	1424	1546	1666	1555	1424	1342	1197	1231
ALPHACYN, KAPPACYN, OMEGACYN	0	31	31	28	41	64	93	90	129	200	201	144	196	228	236	171	187	186	265	257	235	220	270	256
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	29	0	0	12	23	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	31	31	19	0	0	10	6	19	0	0	29	30	31	30	3	31
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	36	28	13	31	30	18	0	0	0	0	0
BETACYN, OMEGACYN	193	170	180	135	140	171	127	120	179	197	182	208	176	162	160	139	159	157	145	79	90	116	93	98
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	0	0	14	0	0	23	7
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	9	1	7	0	19	31	19	0	0	0	0	23	14
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	17	13	0	0	0	0	0	0	0	24	4	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	48	21	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	7	35	62	52	31	33	30	31	30	22	0	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	16	8	0	0	0	5	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	22	14	1	1	0	0	0	0	0	0	0	0
