SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
ALPHACYN	28615	30607	29779	27386	30628	28972	29871	28816	29654	28992	28672	30288	29962	31931	32417	30532	34227	32948	32933	31400	33536	33611	31514	33516
GAMMACYN	60778	64419	64552	59760	66152	63453	66593	63774	66296	67261	64320	66839	66257	70438	69457	63508	70537	69401	71960	69676	72798	71577	69087	71141
DELTACYN, GAMMACYN	8210	9038	7596	6974	9458	9276	9672	9478	9490	9548	9562	10024	9838	7904	2230	302	82	0	0	0	0	0	0	0
BETACYN	2893	3078	2801	2761	3196	3161	3528	3431	3691	3883	3711	4042	3948	5020	6428	5883	6645	6530	6353	6220	6299	6365	6390	6553
BETACYN, GAMMACYN	3764	4076	4398	4080	4852	4304	4960	5034	5160	5742	5946	6400	6456	7038	9168	10314	11870	11654	11828	11944	12134	12910	12488	12012
KAPPACYN	1879	1774	1828	1941	2783	3230	4027	4322	5439	6201	6409	7359	7502	8617	8542	8154	9291	9125	9882	9638	10326	10643	10678	11611
DELTACYN	5226	5476	4774	4450	5571	5503	5821	5685	5859	5867	5680	5994	5792	4430	1273	298	9	16	0	0	0	0	0	0
ALPHACYN, DELTACYN	0	0	0	0	4	100	100	38	0	0	2	0	0	576	322	32	0	0	0	0	0	0	0	0
ALPHACYN, GAMMACYN	23772	24910	25344	23356	25786	25158	26050	25648	26204	25540	24930	25560	24000	26402	26188	26226	30120	28758	29868	28740	29364	29654	30158	30758
GAMMACYN, KAPPACYN	82	100	36	124	286	198	218	300	476	478	264	218	286	372	508	694	856	710	632	848	682	596	396	260
BETACYN, KAPPACYN	0	0	0	0	50	162	362	556	396	442	674	760	822	1512	1992	2190	2676	2494	2362	2412	2520	2572	2880	3044
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	45	72	42	0	0	123	135	0	117	177	9	0	102	150	87	117	165	129	132	93
OMEGACYN	3843	4179	3826	3683	4358	3942	3979	3685	3804	3749	3723	3866	4000	4476	4249	4144	4806	4504	4367	4414	4559	4624	4712	4948
ALPHACYN, KAPPACYN	0	0	20	444	994	1212	1366	1474	1912	2094	2288	2646	2448	2668	2756	3148	4098	4224	4364	4816	5374	5468	5710	6006
ALPHACYN, GAMMACYN, KAPPACYN	0	0	78	216	273	396	546	489	324	285	270	369	480	498	468	321	696	561	534	522	450	330	270	411
DELTACYN, OMEGACYN	570	650	382	452	484	466	432	366	320	398	648	510	546	390	270	144	68	2	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN	1200	1170	954	1188	1542	1311	1314	1317	1479	1617	1398	1857	1689	1317	528	93	0	0	0	0	0	0	0	0
GAMMACYN, OMEGACYN	3358	3388	3610	3020	3066	3158	3186	3052	3354	3046	3018	2956	2824	3084	2988	2748	2774	2692	2538	2454	2916	3058	3002	2974
BETACYN, GAMMACYN, OMEGACYN	813	978	837	804	765	723	867	834	888	870	762	702	729	1245	1866	1788	2079	1428	1626	1710	2064	1590	1851	1962
BETACYN, DELTACYN, GAMMACYN	18	75	0	0	0	57	93	168	117	18	6	0	0	1146	1128	243	93	54	0	0	0	0	0	0
BETACYN, DELTACYN	0	42	38	10	0	0	0	34	4	38	0	0	70	650	736	66	20	0	0	0	0	0	0	0
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	57	117	135	72	0	24	0	0	0	78	93
KAPPACYN, OMEGACYN	60	0	0	0	64	118	106	128	124	124	120	124	196	244	294	236	186	166	124	194	276	278	262	322
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	3	84	72	9	0	33	93	90	63	0	18	93	147	186	213	240	237	270	369
ALPHACYN, OMEGACYN	1098	1244	1230	1178	1134	1234	1176	1084	954	900	1004	1086	1058	1298	1202	1056	1338	1326	1226	1132	1100	1208	1042	972
ALPHACYN, GAMMACYN, OMEGACYN	3909	4614	4122	4212	5010	4827	5010	4326	4173	4374	3966	4215	4266	4647	4098	3642	4272	4638	4998	4665	4272	4026	3591	3693
