SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
GAMMACYN, ZETACYN	30	31	31	28	46	17	31	45	62	62	60	51	7	42	84	28	16	30	31	45	45	48	38	53
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	10	30	31	15	35	35	30	31	74	63	7	16	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	16	31	31	30	42	60	61	82	88	121	90	118	63	49	68	82	71
ZETACYN	30	31	31	3	24	29	29	60	50	56	60	24	19	83	102	86	100	94	67	95	82	40	40	60
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	9	1	7	0	19	31	19	0	0	0	0	23	14
ALPHACYN, GAMMACYN, ZETACYN	30	31	31	28	13	0	18	1	31	31	30	31	30	46	40	28	31	30	58	61	94	64	60	62
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	17	13	0	0	0	0	0	0	0	24	4	1	0	0	0	0	0	0	0	0
BETACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	30	31	8	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	46	3	0	0	15	31
ALPHACYN, ZETACYN	0	0	0	18	0	0	18	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	22	14	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	31	30	31	31	30	31
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	31	31	15	0
DELTACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	28	9	22	4	0	0	0	0	0	0	0	0	0
