Segment Combination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
ALPHACYN	1126	1140	1158	1151	1165	1163	1155	1131	1126	1114	1132	1167	1186	1207	1275	1283	1294	1273	1251	1246	1284	1300	1273	1293
ALPHACYN, DELTACYN	0	0	0	0	1	3	3	1	0	0	1	0	0	34	21	2	0	0	0	0	0	0	0	0
ALPHACYN, GAMMACYN	460	462	484	491	485	492	492	486	490	482	486	485	481	503	528	561	576	555	566	564	576	567	586	598
ALPHACYN, KAPPACYN	0	0	1	12	24	29	30	33	41	43	45	49	48	52	56	66	77	80	84	93	100	105	109	117
ALPHACYN, GAMMACYN, KAPPACYN	0	0	1	5	5	7	9	8	6	5	3	6	6	10	7	8	14	8	9	7	7	5	3	5
ALPHACYN, OMEGACYN	26	23	22	24	26	24	22	23	20	20	19	22	24	27	28	24	32	35	23	28	23	23	25	21
ALPHACYN, GAMMACYN, OMEGACYN	56	56	57	61	61	67	63	61	57	56	54	56	55	61	59	53	56	65	67	60	59	52	48	49
ALPHACYN, KAPPACYN, OMEGACYN	0	1	1	1	2	3	3	3	5	7	7	8	9	8	8	9	8	9	10	10	9	10	10	11
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	1	3	3	1	0	0	1	3	3	3	3	1	3	3	5	6	7	2	3	4	3	1	3	4
ALPHACYN, DELTACYN, GAMMACYN	1	1	1	0	1	0	0	1	0	1	1	0	1	22	21	6	3	1	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ALPHACYN, BETACYN	0	1	2	2	3	2	1	0	1	0	1	1	3	2	3	5	2	0	0	0	3	1	1	1
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	2
ALPHACYN, GAMMACYN, ZETACYN	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	1	1	2	3	4	3	2	2
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPHACYN, ZETACYN	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0
