SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
BETACYN	115	118	116	121	123	126	135	133	137	149	153	157	163	210	273	263	267	263	253	243	245	246	261	264
BETACYN, GAMMACYN	73	76	83	85	87	89	94	97	99	107	115	121	122	154	201	216	230	222	225	227	235	247	239	230
BETACYN, KAPPACYN	0	0	0	0	2	3	9	11	12	13	15	14	20	35	42	46	49	51	47	45	49	48	56	58
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	2	3	1	0	0	3	2	0	2	3	2	0	2	3	2	2	3	3	3	1
BETACYN, GAMMACYN, OMEGACYN	12	13	11	12	11	10	12	13	13	12	11	9	11	19	27	31	30	22	23	24	24	22	26	28
BETACYN, DELTACYN, GAMMACYN	1	1	0	0	0	1	1	3	2	2	1	0	0	40	34	9	1	1	0	0	0	0	0	0
BETACYN, DELTACYN	0	1	1	2	0	0	0	1	1	1	0	0	2	37	27	5	1	0	0	0	0	0	0	0
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	2	2	3	3	3	3	5
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	2	0	0	1	1	1	1	1	1
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	1	3	3	1	0	0	1	3	3	3	3	1	3	3	5	6	7	2	3	4	3	1	3	4
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	1	1	1	0	0	0	0	0
BETACYN, OMEGACYN	8	8	7	6	5	7	7	4	6	8	7	8	9	8	7	7	7	7	5	3	4	5	4	5
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	1	1	1	1	2	2	3	3	4	4	3	4	4	3	3	3	3
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1
ALPHACYN, BETACYN	0	1	2	2	3	2	1	0	1	0	1	1	3	2	3	5	2	0	0	0	3	1	1	1
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0
BETACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
