SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
DELTACYN, GAMMACYN	159	165	155	154	182	192	179	182	186	185	196	189	189	187	74	14	2	0	0	0	0	0	0	0
DELTACYN	197	207	209	194	211	227	217	228	238	227	229	232	229	216	90	21	2	1	0	0	0	0	0	0
ALPHACYN, DELTACYN	0	0	0	0	1	3	3	1	0	0	1	0	0	34	21	2	0	0	0	0	0	0	0	0
DELTACYN, OMEGACYN	11	12	10	10	11	11	11	7	8	8	13	13	11	7	8	4	2	1	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN	17	15	15	18	20	19	17	17	19	22	23	22	22	21	8	3	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN	1	1	0	0	0	1	1	3	2	2	1	0	0	40	34	9	1	1	0	0	0	0	0	0
BETACYN, DELTACYN	0	1	1	2	0	0	0	1	1	1	0	0	2	37	27	5	1	0	0	0	0	0	0	0
DELTACYN, KAPPACYN	0	0	1	4	6	7	7	8	14	17	17	19	16	15	6	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	1	1	3	2	2	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN	1	1	1	0	1	0	0	1	0	1	1	0	1	22	21	6	3	1	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	1	1	1	0	0	0	0	0
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	1	1	1	1	2	2	1	1	3	3	2	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	2	2	2	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DELTACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
