SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
GAMMACYN	2425	2475	2559	2537	2564	2543	2539	2550	2601	2611	2582	2571	2647	2699	2717	2723	2740	2719	2783	2743	2813	2787	2732	2813
DELTACYN, GAMMACYN	159	165	155	154	182	192	179	182	186	185	196	189	189	187	74	14	2	0	0	0	0	0	0	0
BETACYN, GAMMACYN	73	76	83	85	87	89	94	97	99	107	115	121	122	154	201	216	230	222	225	227	235	247	239	230
ALPHACYN, GAMMACYN	460	462	484	491	485	492	492	486	490	482	486	485	481	503	528	561	576	555	566	564	576	567	586	598
GAMMACYN, KAPPACYN	2	2	2	6	7	9	7	8	14	18	9	5	9	8	12	21	22	18	20	19	17	15	12	10
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	2	3	1	0	0	3	2	0	2	3	2	0	2	3	2	2	3	3	3	1
ALPHACYN, GAMMACYN, KAPPACYN	0	0	1	5	5	7	9	8	6	5	3	6	6	10	7	8	14	8	9	7	7	5	3	5
DELTACYN, GAMMACYN, OMEGACYN	17	15	15	18	20	19	17	17	19	22	23	22	22	21	8	3	0	0	0	0	0	0	0	0
GAMMACYN, OMEGACYN	74	73	76	72	64	67	64	65	70	62	60	62	67	66	65	56	59	63	53	56	62	63	62	67
BETACYN, GAMMACYN, OMEGACYN	12	13	11	12	11	10	12	13	13	12	11	9	11	19	27	31	30	22	23	24	24	22	26	28
BETACYN, DELTACYN, GAMMACYN	1	1	0	0	0	1	1	3	2	2	1	0	0	40	34	9	1	1	0	0	0	0	0	0
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	0	0	1	1
ALPHACYN, GAMMACYN, OMEGACYN	56	56	57	61	61	67	63	61	57	56	54	56	55	61	59	53	56	65	67	60	59	52	48	49
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	1	1	3	2	2	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	2	0	0	1	1	1	1	1	1
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	1	3	3	1	0	0	1	3	3	3	3	1	3	3	5	6	7	2	3	4	3	1	3	4
ALPHACYN, DELTACYN, GAMMACYN	1	1	1	0	1	0	0	1	0	1	1	0	1	22	21	6	3	1	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	1	1	1	0	0	0	0	0
GAMMACYN, ZETACYN	1	1	1	1	3	1	1	2	2	2	2	2	1	3	5	1	2	1	2	2	2	2	2	3
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	1	1	1	1	2	2	1	1	3	3	2	1	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	1	1	1	1	2	2	3	3	4	4	3	4	4	3	3	3	3
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	2
ALPHACYN, GAMMACYN, ZETACYN	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	1	1	2	3	4	3	2	2
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
