SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
KAPPACYN	85	80	82	98	124	151	175	199	230	263	278	295	320	343	353	359	370	379	410	397	417	437	457	468
GAMMACYN, KAPPACYN	2	2	2	6	7	9	7	8	14	18	9	5	9	8	12	21	22	18	20	19	17	15	12	10
BETACYN, KAPPACYN	0	0	0	0	2	3	9	11	12	13	15	14	20	35	42	46	49	51	47	45	49	48	56	58
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	2	3	1	0	0	3	2	0	2	3	2	0	2	3	2	2	3	3	3	1
ALPHACYN, KAPPACYN	0	0	1	12	24	29	30	33	41	43	45	49	48	52	56	66	77	80	84	93	100	105	109	117
ALPHACYN, GAMMACYN, KAPPACYN	0	0	1	5	5	7	9	8	6	5	3	6	6	10	7	8	14	8	9	7	7	5	3	5
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	0	0	1	1
KAPPACYN, OMEGACYN	1	0	0	0	2	2	2	3	2	2	2	2	4	6	6	6	3	4	3	4	5	7	6	6
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	2	2	3	3	3	3	5
DELTACYN, KAPPACYN	0	0	1	4	6	7	7	8	14	17	17	19	16	15	6	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, OMEGACYN	0	1	1	1	2	3	3	3	5	7	7	8	9	8	8	9	8	9	10	10	9	10	10	11
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	1	1	3	2	2	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	2	0	0	1	1	1	1	1	1
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	2	2	2	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
