SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
OMEGACYN	169	164	159	163	186	171	165	150	155	159	157	165	172	183	188	185	217	199	182	183	192	184	200	205
DELTACYN, OMEGACYN	11	12	10	10	11	11	11	7	8	8	13	13	11	7	8	4	2	1	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN	17	15	15	18	20	19	17	17	19	22	23	22	22	21	8	3	0	0	0	0	0	0	0	0
GAMMACYN, OMEGACYN	74	73	76	72	64	67	64	65	70	62	60	62	67	66	65	56	59	63	53	56	62	63	62	67
BETACYN, GAMMACYN, OMEGACYN	12	13	11	12	11	10	12	13	13	12	11	9	11	19	27	31	30	22	23	24	24	22	26	28
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	0	0	1	1
KAPPACYN, OMEGACYN	1	0	0	0	2	2	2	3	2	2	2	2	4	6	6	6	3	4	3	4	5	7	6	6
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	2	2	3	3	3	3	5
ALPHACYN, OMEGACYN	26	23	22	24	26	24	22	23	20	20	19	22	24	27	28	24	32	35	23	28	23	23	25	21
ALPHACYN, GAMMACYN, OMEGACYN	56	56	57	61	61	67	63	61	57	56	54	56	55	61	59	53	56	65	67	60	59	52	48	49
ALPHACYN, KAPPACYN, OMEGACYN	0	1	1	1	2	3	3	3	5	7	7	8	9	8	8	9	8	9	10	10	9	10	10	11
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	2	0	0	1	1	1	1	1	1
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	1	1	1	0	0	0	0	0
BETACYN, OMEGACYN	8	8	7	6	5	7	7	4	6	8	7	8	9	8	7	7	7	7	5	3	4	5	4	5
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	2
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	2	2	2	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
