SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
ALPHACYN	1126	1140	1158	1151	1165	1163	1155	1131	1126	1114	1132	1167	1186	1207	1275	1283	1294	1273	1251	1246	1284	1300	1273	1293
GAMMACYN	2425	2475	2559	2537	2564	2543	2539	2550	2601	2611	2582	2571	2647	2699	2717	2723	2740	2719	2783	2743	2813	2787	2732	2813
DELTACYN, GAMMACYN	159	165	155	154	182	192	179	182	186	185	196	189	189	187	74	14	2	0	0	0	0	0	0	0
BETACYN	115	118	116	121	123	126	135	133	137	149	153	157	163	210	273	263	267	263	253	243	245	246	261	264
BETACYN, GAMMACYN	73	76	83	85	87	89	94	97	99	107	115	121	122	154	201	216	230	222	225	227	235	247	239	230
KAPPACYN	85	80	82	98	124	151	175	199	230	263	278	295	320	343	353	359	370	379	410	397	417	437	457	468
DELTACYN	197	207	209	194	211	227	217	228	238	227	229	232	229	216	90	21	2	1	0	0	0	0	0	0
ALPHACYN, DELTACYN	0	0	0	0	1	3	3	1	0	0	1	0	0	34	21	2	0	0	0	0	0	0	0	0
ALPHACYN, GAMMACYN	460	462	484	491	485	492	492	486	490	482	486	485	481	503	528	561	576	555	566	564	576	567	586	598
GAMMACYN, KAPPACYN	2	2	2	6	7	9	7	8	14	18	9	5	9	8	12	21	22	18	20	19	17	15	12	10
BETACYN, KAPPACYN	0	0	0	0	2	3	9	11	12	13	15	14	20	35	42	46	49	51	47	45	49	48	56	58
BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	2	3	1	0	0	3	2	0	2	3	2	0	2	3	2	2	3	3	3	1
OMEGACYN	169	164	159	163	186	171	165	150	155	159	157	165	172	183	188	185	217	199	182	183	192	184	200	205
ALPHACYN, KAPPACYN	0	0	1	12	24	29	30	33	41	43	45	49	48	52	56	66	77	80	84	93	100	105	109	117
ALPHACYN, GAMMACYN, KAPPACYN	0	0	1	5	5	7	9	8	6	5	3	6	6	10	7	8	14	8	9	7	7	5	3	5
DELTACYN, OMEGACYN	11	12	10	10	11	11	11	7	8	8	13	13	11	7	8	4	2	1	0	0	0	0	0	0
DELTACYN, GAMMACYN, OMEGACYN	17	15	15	18	20	19	17	17	19	22	23	22	22	21	8	3	0	0	0	0	0	0	0	0
GAMMACYN, OMEGACYN	74	73	76	72	64	67	64	65	70	62	60	62	67	66	65	56	59	63	53	56	62	63	62	67
BETACYN, GAMMACYN, OMEGACYN	12	13	11	12	11	10	12	13	13	12	11	9	11	19	27	31	30	22	23	24	24	22	26	28
BETACYN, DELTACYN, GAMMACYN	1	1	0	0	0	1	1	3	2	2	1	0	0	40	34	9	1	1	0	0	0	0	0	0
BETACYN, DELTACYN	0	1	1	2	0	0	0	1	1	1	0	0	2	37	27	5	1	0	0	0	0	0	0	0
GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	0	0	1	1
KAPPACYN, OMEGACYN	1	0	0	0	2	2	2	3	2	2	2	2	4	6	6	6	3	4	3	4	5	7	6	6
BETACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	2	2	3	3	3	3	5
ALPHACYN, OMEGACYN	26	23	22	24	26	24	22	23	20	20	19	22	24	27	28	24	32	35	23	28	23	23	25	21
ALPHACYN, GAMMACYN, OMEGACYN	56	56	57	61	61	67	63	61	57	56	54	56	55	61	59	53	56	65	67	60	59	52	48	49
DELTACYN, KAPPACYN	0	0	1	4	6	7	7	8	14	17	17	19	16	15	6	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, OMEGACYN	0	1	1	1	2	3	3	3	5	7	7	8	9	8	8	9	8	9	10	10	9	10	10	11
DELTACYN, GAMMACYN, KAPPACYN	0	0	0	1	1	3	2	2	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	2	0	0	1	1	1	1	1	1
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALPHACYN, BETACYN, GAMMACYN	1	3	3	1	0	0	1	3	3	3	3	1	3	3	5	6	7	2	3	4	3	1	3	4
ALPHACYN, DELTACYN, GAMMACYN	1	1	1	0	1	0	0	1	0	1	1	0	1	22	21	6	3	1	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	1	1	1	0	0	0	0	0
BETACYN, OMEGACYN	8	8	7	6	5	7	7	4	6	8	7	8	9	8	7	7	7	7	5	3	4	5	4	5
GAMMACYN, ZETACYN	1	1	1	1	3	1	1	2	2	2	2	2	1	3	5	1	2	1	2	2	2	2	2	3
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	1	1	1	1	2	2	1	1	3	3	2	1	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	1	1	1	1	2	2	3	3	4	4	3	4	4	3	3	3	3
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1
ZETACYN	1	1	1	1	1	2	2	2	2	3	2	2	3	5	6	4	4	5	3	5	4	2	2	2
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ALPHACYN, BETACYN	0	1	2	2	3	2	1	0	1	0	1	1	3	2	3	5	2	0	0	0	3	1	1	1
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	2
ALPHACYN, GAMMACYN, ZETACYN	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	1	1	2	3	4	3	2	2
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0
DELTACYN, KAPPACYN, OMEGACYN	0	0	0	0	2	2	2	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0
BETACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1
ALPHACYN, DELTACYN, OMEGACYN	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPHACYN, ZETACYN	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALPHACYN, DELTACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
ALPHACYN, BETACYN, KAPPACYN	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
DELTACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
