SegmentCombination	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
GAMMACYN, ZETACYN	1	1	1	1	3	1	1	2	2	2	2	2	1	3	5	1	2	1	2	2	2	2	2	3
DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	1	1	1	1	2	2	1	1	3	3	2	1	0	0	0	0	0	0	0	0
BETACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	1	1	1	1	2	2	3	3	4	4	3	4	4	3	3	3	3
ZETACYN	1	1	1	1	1	2	2	2	2	3	2	2	3	5	6	4	4	5	3	5	4	2	2	2
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	2
ALPHACYN, GAMMACYN, ZETACYN	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	1	1	2	3	4	3	2	2
GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
BETACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0
BETACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1
ALPHACYN, ZETACYN	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
BETACYN, DELTACYN, GAMMACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALPHACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
DELTACYN, ZETACYN	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
