SegmentCombination	Total
ALPHACYN	740807
ALPHACYN, DELTACYN	587
ALPHACYN, GAMMACYN	321247
ALPHACYN, KAPPACYN	32765
ALPHACYN, GAMMACYN, KAPPACYN	2929
ALPHACYN, OMEGACYN	13640
ALPHACYN, GAMMACYN, OMEGACYN	34522
ALPHACYN, KAPPACYN, OMEGACYN	3759
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	24
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	19
ALPHACYN, BETACYN, GAMMACYN	971
ALPHACYN, DELTACYN, GAMMACYN	823
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	88
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	13
ALPHACYN, BETACYN	444
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	123
ALPHACYN, GAMMACYN, ZETACYN	879
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	69
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	8
ALPHACYN, DELTACYN, OMEGACYN	29
ALPHACYN, ZETACYN	56
ALPHACYN, DELTACYN, KAPPACYN	2
ALPHACYN, KAPPACYN, ZETACYN	195
ALPHACYN, BETACYN, KAPPACYN	89
