SegmentCombination	Total
BETACYN	112810
BETACYN, GAMMACYN	94266
BETACYN, KAPPACYN	15439
BETACYN, GAMMACYN, KAPPACYN	565
BETACYN, GAMMACYN, OMEGACYN	9927
BETACYN, DELTACYN, GAMMACYN	1072
BETACYN, DELTACYN	854
BETACYN, KAPPACYN, OMEGACYN	740
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	24
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	271
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	19
ALPHACYN, BETACYN, GAMMACYN	971
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	156
BETACYN, OMEGACYN	3576
BETACYN, GAMMACYN, ZETACYN	1103
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	88
ALPHACYN, BETACYN	444
BETACYN, DELTACYN, OMEGACYN	7
BETACYN, DELTACYN, KAPPACYN	75
BETACYN, ZETACYN	96
BETACYN, KAPPACYN, ZETACYN	100
BETACYN, DELTACYN, GAMMACYN, ZETACYN	7
ALPHACYN, BETACYN, KAPPACYN	89
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	32
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	108
