SegmentCombination	Total
DELTACYN, GAMMACYN	64341
DELTACYN	77724
ALPHACYN, DELTACYN	587
DELTACYN, OMEGACYN	3549
DELTACYN, GAMMACYN, OMEGACYN	6658
BETACYN, DELTACYN, GAMMACYN	1072
BETACYN, DELTACYN	854
DELTACYN, KAPPACYN	2996
DELTACYN, GAMMACYN, KAPPACYN	230
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	64
ALPHACYN, DELTACYN, GAMMACYN	823
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	156
DELTACYN, GAMMACYN, ZETACYN	377
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	69
BETACYN, DELTACYN, OMEGACYN	7
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	8
BETACYN, DELTACYN, KAPPACYN	75
DELTACYN, KAPPACYN, OMEGACYN	333
ALPHACYN, DELTACYN, OMEGACYN	29
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	38
BETACYN, DELTACYN, GAMMACYN, ZETACYN	7
ALPHACYN, DELTACYN, KAPPACYN	2
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	32
DELTACYN, ZETACYN	63
