SegmentCombination	Total
GAMMACYN	1610034
DELTACYN, GAMMACYN	64341
BETACYN, GAMMACYN	94266
ALPHACYN, GAMMACYN	321247
GAMMACYN, KAPPACYN	4810
BETACYN, GAMMACYN, KAPPACYN	565
ALPHACYN, GAMMACYN, KAPPACYN	2929
DELTACYN, GAMMACYN, OMEGACYN	6658
GAMMACYN, OMEGACYN	36132
BETACYN, GAMMACYN, OMEGACYN	9927
BETACYN, DELTACYN, GAMMACYN	1072
GAMMACYN, KAPPACYN, OMEGACYN	192
ALPHACYN, GAMMACYN, OMEGACYN	34522
DELTACYN, GAMMACYN, KAPPACYN	230
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	64
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	24
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	271
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	19
ALPHACYN, BETACYN, GAMMACYN	971
ALPHACYN, DELTACYN, GAMMACYN	823
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	156
GAMMACYN, ZETACYN	961
DELTACYN, GAMMACYN, ZETACYN	377
BETACYN, GAMMACYN, ZETACYN	1103
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	88
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	13
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	123
ALPHACYN, GAMMACYN, ZETACYN	879
GAMMACYN, OMEGACYN, ZETACYN	59
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	69
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	8
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	38
BETACYN, DELTACYN, GAMMACYN, ZETACYN	7
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	32
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	108
