SegmentCombination	Total
KAPPACYN	161201
GAMMACYN, KAPPACYN	4810
BETACYN, KAPPACYN	15439
BETACYN, GAMMACYN, KAPPACYN	565
ALPHACYN, KAPPACYN	32765
ALPHACYN, GAMMACYN, KAPPACYN	2929
GAMMACYN, KAPPACYN, OMEGACYN	192
KAPPACYN, OMEGACYN	1873
BETACYN, KAPPACYN, OMEGACYN	740
DELTACYN, KAPPACYN	2996
ALPHACYN, KAPPACYN, OMEGACYN	3759
DELTACYN, GAMMACYN, KAPPACYN	230
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	64
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	24
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	271
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	19
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	13
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	8
BETACYN, DELTACYN, KAPPACYN	75
DELTACYN, KAPPACYN, OMEGACYN	333
BETACYN, KAPPACYN, ZETACYN	100
ALPHACYN, DELTACYN, KAPPACYN	2
ALPHACYN, KAPPACYN, ZETACYN	195
ALPHACYN, BETACYN, KAPPACYN	89
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	32
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	108
