SegmentCombination	Total
OMEGACYN	100440
DELTACYN, OMEGACYN	3549
DELTACYN, GAMMACYN, OMEGACYN	6658
GAMMACYN, OMEGACYN	36132
BETACYN, GAMMACYN, OMEGACYN	9927
GAMMACYN, KAPPACYN, OMEGACYN	192
KAPPACYN, OMEGACYN	1873
BETACYN, KAPPACYN, OMEGACYN	740
ALPHACYN, OMEGACYN	13640
ALPHACYN, GAMMACYN, OMEGACYN	34522
ALPHACYN, KAPPACYN, OMEGACYN	3759
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	64
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	271
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	19
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	156
BETACYN, OMEGACYN	3576
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	88
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	13
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	123
GAMMACYN, OMEGACYN, ZETACYN	59
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	69
BETACYN, DELTACYN, OMEGACYN	7
DELTACYN, KAPPACYN, OMEGACYN	333
ALPHACYN, DELTACYN, OMEGACYN	29
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	38
