SegmentCombination	Total
ALPHACYN	740807
GAMMACYN	1610034
DELTACYN, GAMMACYN	128682
BETACYN	112810
BETACYN, GAMMACYN	188532
KAPPACYN	161201
DELTACYN	77724
ALPHACYN, DELTACYN	1174
ALPHACYN, GAMMACYN	642494
GAMMACYN, KAPPACYN	9620
BETACYN, KAPPACYN	30878
BETACYN, GAMMACYN, KAPPACYN	1695
OMEGACYN	100440
ALPHACYN, KAPPACYN	65530
ALPHACYN, GAMMACYN, KAPPACYN	8787
DELTACYN, OMEGACYN	7098
DELTACYN, GAMMACYN, OMEGACYN	19974
GAMMACYN, OMEGACYN	72264
BETACYN, GAMMACYN, OMEGACYN	29781
BETACYN, DELTACYN, GAMMACYN	3216
BETACYN, DELTACYN	1708
GAMMACYN, KAPPACYN, OMEGACYN	576
KAPPACYN, OMEGACYN	3746
BETACYN, KAPPACYN, OMEGACYN	2220
ALPHACYN, OMEGACYN	27280
ALPHACYN, GAMMACYN, OMEGACYN	103566
DELTACYN, KAPPACYN	5992
ALPHACYN, KAPPACYN, OMEGACYN	11277
DELTACYN, GAMMACYN, KAPPACYN	690
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	256
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	96
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1084
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	95
ALPHACYN, BETACYN, GAMMACYN	2913
ALPHACYN, DELTACYN, GAMMACYN	2469
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	624
BETACYN, OMEGACYN	7152
GAMMACYN, ZETACYN	1922
DELTACYN, GAMMACYN, ZETACYN	1131
BETACYN, GAMMACYN, ZETACYN	3309
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	352
ZETACYN	1295
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	52
ALPHACYN, BETACYN	888
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	492
ALPHACYN, GAMMACYN, ZETACYN	2637
GAMMACYN, OMEGACYN, ZETACYN	177
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	276
BETACYN, DELTACYN, OMEGACYN	21
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	32
BETACYN, DELTACYN, KAPPACYN	225
DELTACYN, KAPPACYN, OMEGACYN	999
BETACYN, ZETACYN	192
BETACYN, KAPPACYN, ZETACYN	300
ALPHACYN, DELTACYN, OMEGACYN	87
ALPHACYN, ZETACYN	112
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	152
BETACYN, DELTACYN, GAMMACYN, ZETACYN	28
ALPHACYN, DELTACYN, KAPPACYN	6
ALPHACYN, KAPPACYN, ZETACYN	585
ALPHACYN, BETACYN, KAPPACYN	267
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	128
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	432
DELTACYN, ZETACYN	126
