SegmentCombination	Total
ALPHACYN	3197
GAMMACYN	7471
DELTACYN, GAMMACYN	373
BETACYN	658
BETACYN, GAMMACYN	470
KAPPACYN	1370
DELTACYN	479
ALPHACYN, DELTACYN	48
ALPHACYN, GAMMACYN	1354
GAMMACYN, KAPPACYN	113
BETACYN, KAPPACYN	100
BETACYN, GAMMACYN, KAPPACYN	21
OMEGACYN	700
ALPHACYN, KAPPACYN	195
ALPHACYN, GAMMACYN, KAPPACYN	45
DELTACYN, OMEGACYN	29
DELTACYN, GAMMACYN, OMEGACYN	48
GAMMACYN, OMEGACYN	255
BETACYN, GAMMACYN, OMEGACYN	73
BETACYN, DELTACYN, GAMMACYN	60
BETACYN, DELTACYN	58
GAMMACYN, KAPPACYN, OMEGACYN	3
KAPPACYN, OMEGACYN	19
BETACYN, KAPPACYN, OMEGACYN	8
ALPHACYN, OMEGACYN	96
ALPHACYN, GAMMACYN, OMEGACYN	164
DELTACYN, KAPPACYN	30
ALPHACYN, KAPPACYN, OMEGACYN	20
DELTACYN, GAMMACYN, KAPPACYN	10
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	2
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	2
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1
ALPHACYN, BETACYN, GAMMACYN	30
ALPHACYN, DELTACYN, GAMMACYN	34
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	8
BETACYN, OMEGACYN	25
GAMMACYN, ZETACYN	9
DELTACYN, GAMMACYN, ZETACYN	6
BETACYN, GAMMACYN, ZETACYN	6
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	3
ZETACYN	16
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	3
ALPHACYN, BETACYN	24
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	3
ALPHACYN, GAMMACYN, ZETACYN	6
GAMMACYN, OMEGACYN, ZETACYN	3
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	3
BETACYN, DELTACYN, OMEGACYN	2
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, DELTACYN, KAPPACYN	8
DELTACYN, KAPPACYN, OMEGACYN	4
BETACYN, ZETACYN	3
BETACYN, KAPPACYN, ZETACYN	3
ALPHACYN, DELTACYN, OMEGACYN	2
ALPHACYN, ZETACYN	2
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	1
BETACYN, DELTACYN, GAMMACYN, ZETACYN	1
ALPHACYN, DELTACYN, KAPPACYN	1
ALPHACYN, KAPPACYN, ZETACYN	1
ALPHACYN, BETACYN, KAPPACYN	5
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	1
DELTACYN, ZETACYN	1
