Product	Target	Patients
ALPHACYN	ZETACYN	1
ALPHACYN	KAPPACYN	18
ALPHACYN	OMEGACYN	30
ALPHACYN	GAMMACYN	162
ALPHACYN	BETACYN	26
ALPHACYN	DELTACYN	134
BETACYN	ZETACYN	2
BETACYN	ALPHACYN	40
BETACYN	GAMMACYN	140
BETACYN	DELTACYN	173
BETACYN	OMEGACYN	24
BETACYN	KAPPACYN	27
DELTACYN	KAPPACYN	3
DELTACYN	BETACYN	5
DELTACYN	ALPHACYN	16
DELTACYN	OMEGACYN	4
DELTACYN	GAMMACYN	34
GAMMACYN	ZETACYN	1
GAMMACYN	OMEGACYN	29
GAMMACYN	DELTACYN	43
GAMMACYN	BETACYN	34
GAMMACYN	KAPPACYN	38
GAMMACYN	ALPHACYN	161
KAPPACYN	OMEGACYN	11
KAPPACYN	DELTACYN	13
KAPPACYN	BETACYN	16
KAPPACYN	GAMMACYN	116
KAPPACYN	ALPHACYN	44
OMEGACYN	ZETACYN	1
OMEGACYN	ALPHACYN	25
OMEGACYN	DELTACYN	12
OMEGACYN	KAPPACYN	12
OMEGACYN	GAMMACYN	38
OMEGACYN	BETACYN	10
ZETACYN	DELTACYN	1
ZETACYN	OMEGACYN	4
ZETACYN	BETACYN	1
ZETACYN	ALPHACYN	3
ZETACYN	GAMMACYN	6
